"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2020,"AJ Pollock","LAD",55,196,54,29,9,0,16,30,34,12,1,45,0,2,0,6,2,2,210,0.057,0.214,0.27,0.276,0.314,0.566,0.881,0.291,2.6,0.277,-0.7,-0.7,-0.4,-0.6,34,7.8,0.364,130,0.297
2021,"AJ Pollock","LAD",117,384,114,65,27,1,21,53,69,30,4,80,6,2,0,4,9,1,422,0.071,0.19,0.38,0.297,0.355,0.536,0.892,0.24,4.4,0.326,-1,0.6,-0.1,1,72,21.1,0.375,137,0.245
2022,"AJ Pollock","CHW",138,489,120,79,26,1,14,61,56,32,0,98,2,4,0,13,3,1,527,0.061,0.186,0.33,0.245,0.292,0.389,0.681,0.143,3.5,0.278,-0.9,-0.3,-2.1,-0.3,55,-5.2,0.297,92,0.173
2020,"Aaron Judge","NYY",28,101,26,14,3,0,9,23,22,10,0,32,2,0,0,5,0,1,114,0.088,0.281,0.31,0.257,0.336,0.554,0.891,0.297,3.2,0.283,1,-0.3,0.4,-0.5,20,5.3,0.375,140,0.287
2021,"Aaron Judge","NYY",148,550,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,633,0.118,0.25,0.47,0.287,0.373,0.544,0.916,0.256,2.9,0.332,-0.4,0.1,-0.1,0.2,115,38,0.387,150,0.311
2022,"Aaron Judge","NYY",157,570,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,696,0.159,0.251,0.63,0.311,0.425,0.686,1.111,0.375,4,0.34,0.4,0.5,-0.2,1.2,162,82.1,0.458,206,0.267
2023,"Aaron Judge","NYY",106,367,98,45,16,0,37,79,75,88,9,130,0,3,0,5,3,1,458,0.192,0.284,0.68,0.267,0.406,0.613,1.019,0.346,2.6,0.3,0.3,1.5,-1.6,-0.8,95,38.8,0.42,173,0.322
2020,"Adalberto Mondesi","KCR",59,219,56,36,11,3,6,33,22,11,0,70,1,0,2,4,24,8,233,0.047,0.3,0.16,0.256,0.294,0.416,0.71,0.16,8.5,0.35,2,0.4,1.7,1.2,26,-3,0.305,88,0.23
2020,"Adam Duvall","ATL",57,190,45,21,8,0,16,34,33,15,0,54,3,1,0,2,0,0,209,0.072,0.258,0.28,0.237,0.301,0.532,0.833,0.295,2.1,0.24,0.2,0.5,1,-0.1,31,5,0.348,115,0.229
2021,"Adam Duvall","MIA",91,314,72,39,10,1,22,41,68,21,0,105,1,3,0,4,5,0,339,0.062,0.31,0.2,0.229,0.277,0.478,0.755,0.248,4.6,0.263,-1.3,0.3,-1.2,0.8,42,0.9,0.318,97,0.226
2021,"Adam Duvall","ATL",55,199,45,21,7,1,16,26,45,14,1,69,3,0,0,3,0,0,216,0.065,0.319,0.2,0.226,0.287,0.513,0.8,0.286,2.2,0.254,-2.4,0.3,-1,-0.1,30,3.6,0.335,107,0.213
2022,"Adam Duvall","ATL",86,287,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,315,0.067,0.321,0.21,0.213,0.276,0.401,0.677,0.188,3.2,0.278,2.5,1.2,0.7,-1,32,-3.6,0.295,88,0.247
2023,"Adam Duvall","BOS",92,320,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,353,0.062,0.312,0.2,0.247,0.303,0.531,0.834,0.284,5.3,0.299,0.5,2.2,0.5,0.3,52,8.5,0.347,117,0.182
2020,"Adam Eaton","WSN",41,159,36,20,11,1,4,22,17,12,1,32,1,0,4,4,3,0,176,0.068,0.182,0.38,0.226,0.285,0.384,0.669,0.157,6.1,0.26,-0.2,-0.6,0.2,0.5,17,-4.8,0.287,76,0.201
2021,"Adam Engel","CHW",39,123,31,15,9,0,7,21,18,11,0,31,5,1,0,4,7,1,140,0.079,0.221,0.35,0.252,0.336,0.496,0.832,0.244,5.9,0.279,0.8,-0.7,0.9,0.9,22,4.6,0.354,125,0.224
2022,"Adley Rutschman","BAL",113,398,101,52,35,1,13,70,42,65,0,86,4,3,0,4,4,0,470,0.138,0.183,0.76,0.254,0.362,0.445,0.806,0.191,4.2,0.291,3.9,0.8,1,0.3,70,16.5,0.354,134,0.277
2023,"Adley Rutschman","BAL",154,588,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,687,0.134,0.147,0.91,0.277,0.374,0.435,0.809,0.158,1.8,0.303,0.3,-1.1,0.3,-2.2,103,19,0.352,126,0.25
2021,"Adolis García","TEX",149,581,141,82,26,2,31,77,90,32,0,194,5,4,0,15,16,5,622,0.051,0.312,0.16,0.243,0.286,0.454,0.741,0.212,5.1,0.306,-1.7,-0.4,-0.6,0.7,75,-0.1,0.314,99,0.25
2022,"Adolis García","TEX",156,605,151,85,34,5,27,88,101,40,2,183,6,6,0,9,25,6,657,0.061,0.279,0.22,0.25,0.3,0.456,0.756,0.207,6.6,0.309,3,0.9,2.5,2.1,83,7.6,0.324,112,0.245
2023,"Adolis García","TEX",148,555,136,68,29,0,39,108,107,65,0,175,6,6,0,12,9,1,632,0.103,0.277,0.37,0.245,0.328,0.508,0.836,0.263,4.5,0.28,2.8,0.4,1.1,0.3,96,18.8,0.354,128,0.224
2021,"Alcides Escobar","WSN",75,319,92,65,21,2,4,53,28,17,0,56,9,2,2,2,3,0,349,0.049,0.16,0.3,0.288,0.34,0.404,0.744,0.116,5.3,0.337,0.8,1.3,-0.4,0.3,45,2.9,0.325,102,0.218
2023,"Alec Burleson","STL",107,315,77,48,20,1,8,34,36,23,0,45,3,2,1,13,3,1,347,0.066,0.13,0.51,0.244,0.3,0.39,0.691,0.146,3.4,0.261,-2.6,-1.7,-1.6,-0.4,37,-5.2,0.3,89,0.269
2021,"Aledmys Díaz","HOU",84,294,76,49,19,0,8,28,45,16,3,62,9,0,0,7,0,1,319,0.05,0.194,0.26,0.259,0.317,0.405,0.721,0.146,1.3,0.304,-1.6,-0.5,0,-0.7,38,-1,0.311,97,0.243
2022,"Aledmys Díaz","HOU",92,305,74,49,13,0,12,35,38,18,0,53,2,2,0,7,1,1,327,0.055,0.162,0.34,0.243,0.287,0.403,0.691,0.161,2.1,0.256,-2.6,-0.7,-2,-0.5,35,-2.3,0.301,97,0.229
